Country;Happiness_Rank;Happiness_Score;Economy;Family;Life_Expectancy;Freedom;Government_Corruption;Generosity;Year;
Malawi;132;4.156;0.08709;0,102083333;0.29364;2,877083333;0.07564;0.30968;2016;
Sudan;133;4.139;0.63069;0.81928;0.29759;0;0.10039;0.18077;2016;
Gabon;134;4.121;115.851;0.72368;2,426388889;0.28098;0.09314;0.06244;2016;
Mali;135;4.073;0.31292;0.86333;0.16347;0.27544;0.13647;0.21064;2016;
Haiti;136;4.028;0.34097;0.29561;0.27494;0.12072;0.14476;0.47958;2016;
Botswana;137;3.974;109.426;0.89186;0.34752;0.44089;0.10769;0.12425;2016;
Comoros;138;3.956;0.27509;0.60323;0.29981;0.15412;0.18437;1,26875;2016;
Ivory Coast;139;3.916;0.55507;0.57576;0.04476;0.40663;1,078472222;0.20338;2016;
Cambodia;140;3.907;0.55604;3,732638889;0.42494;0.58852;0.08092;0.40339;2016;
Angola;141;3.866;0.84731;0.66366;0.04991;0.00589;0.08434;0.12071;2016;
Niger;142;3.856;0,921527778;4,203472222;0.26162;0.38041;0.17176;1,45625;2016;
South Sudan;143;3.832;0.39394;0.18519;0.15781;0.19662;0.13015;0.25899;2016;
Chad;144;3.763;0.42214;0.63178;0.03824;0.12807;0.04952;0.18667;2016;
Burkina Faso;145;3.739;0.31995;0.63054;0.21297;2,317361111;0.12533;0.24353;2016;
Uganda;145;3.739;0.34719;0.90981;0.19625;0.43653;0.06442;0.27102;2016;
Yemen;147;3.724;0.57939;0.47493;0.31048;1,588194444;0.05892;0.09821;2016;
Madagascar;148;3.695;0.27954;0.46115;0.37109;0.13684;0.07506;1,530555556;2016;
Tanzania;149;3.666;0.47155;0.77623;0,247916667;2,205555556;0.05099;0.31472;2016;
Liberia;150;3.622;0.10706;0.50353;0.23165;0.25748;0.04852;0.24063;2016;
Guinea;151;3.607;0.22415;2,159027778;0.18829;0.30953;0,827777778;0.29914;2016;
Rwanda;152;3.515;0.32846;0.61586;0.31865;3,772222222;0.50521;0.23552;2016;
Benin;153;3.484;0.39499;0.10419;0.21028;0.39747;0.06681;1,401388889;2016;
Afghanistan;154;03.36;0.38227;0.11037;0.17344;1,140972222;0.07112;0.31268;2016;
Togo;155;3.303;0.28123;0;0.24811;0.34678;0.11587;0.17517;2016;
Syria;156;3.069;0.74719;0.14866;0.62994;0.06912;0.17233;0.48397;2016;
Burundi;157;2.905;0.06831;0.23442;0.15747;0,3;0.09419;1,409027778;2016;
Norway;1;7.537.000.179;1.616.463.184;153.352.356;0.796666503;0.635422587;0.362012237;0.315963835;2017;
Denmark;2;7.521.999.836;1.482.383.013;1.551.121.593;0.792565525;0.626006722;0.355280489;0.400770068;2017;
Iceland;3;7.504.000.187;148.063.302;1.610.574.007;0.833552122;0.627162635;0.475540221;0.153526559;2017;
Switzerland;4;7.493.999.958;1.564.979.553;1.516.911.745;0.858131289;0.620070577;0.290549278;0.367007285;2017;
Finland;5;7.468.999.863;1.443.571.925;1.540.246.725;0.80915767;0.617950857;0.245482773;0.382611543;2017;
Netherlands;6;7.376.999.855;1.503.944.635;1.428.939.223;0.810696125;0.585384488;0.47048983;0.282661825;2017;
Canada;7;7.315.999.985;1.479.204.416;1.481.348.991;0.834557652;0.611100912;0.435539722;0.287371516;2017;
New Zealand;8;731.400.013;1.405.706.048;1.548.195.124;0.816759706;0.61406213;0.500005126;0.382816702;2017;
Sweden;9;728.399.992;1.494.387.269;1.478.162.169;0.830875158;0.612924099;0.385399252;0.384398729;2017;
Australia;10;728.399.992;1.484.414.935;1.510.041.952;0.843886793;0.601607382;0.47769925;0.30118373;2017;
Israel;11;7.212.999.821;1.375.382.423;1.376.289.964;0.838404;0.405988604;0.330082655;0.0852421;2017;
Costa Rica;12;7.078.999.996;1.109.706.283;1.416.403.651;0.759509265;0.58013165;0.214613229;0.100106589;2017;
Austria;13;7.006.000.042;1.487.097.263;1.459.944.963;0.815328419;0.56776619;0.316472322;0.221060365;2017;
United States;14;6.993.000.031;1.546.259.284;1.419.920.564;0.774286628;0.505740523;0.392578781;0.135638788;2017;
Ireland;15;6.977.000.237;1.535.706.639;1.558.231.115;0.809782624;0.573110342;0.427858323;0.298388153;2017;
Germany;16;6.951.000.214;1.487.923.384;1.472.520.351;0.798950732;0.562511384;0.33626917;0.276731938;2017;
Belgium;17;6.890.999.794;1.463.780.761;1.462.312.698;0.818091869;0.539770722;0.231503338;0.251343131;2017;
Luxembourg;18;6.862.999.916;1.741.943.598;1.457.583.666;0.845089495;0.596627891;0.283180982;0.318834424;2017;
United Kingdom;19;6.714.000.225;144.163.394;149.646.008;0.805335939;0.508190036;0.492774159;0.265428066;2017;
Chile;20;665.199.995;125.278.461;1.284.024.954;0.819479704;0.376895279;0.326662421;0.082287982;2017;
United Arab Emirates;21;6.647.999.763;1.626.343.369;1.266.410.232;0.726798236;0.60834527;0.360941947;0.324489564;2017;
Brazil;22;6.635.000.229;110.735.321;1.431.306.005;0.616552353;0.437453747;0.162349895;0.111092761;2017;
Czech Republic;23;6.609.000.206;1.352.682.352;1.433.885.217;0.754444003;0.490946174;0.088106759;0.036872927;2017;
Argentina;24;6.598.999.977;1.185.295.463;1.440.451.145;0.695137084;0.494519204;0.109457061;0.059739888;2017;
Mexico;25;6.578.000.069;1.153.183.818;121.086.216;0.709978998;0.412730008;0.120990433;0.132774115;2017;
Singapore;26;6.572.000.027;169.227.767;1.353.814.363;0.949492395;0.549840569;0.345965981;0.464307785;2017;
Malta;27;652.699.995;1.343.279.839;1.488.411.665;0.821944237;0.588767052;0.574730575;0.153066069;2017;
Uruguay;28;6.453.999.996;1.217.559.695;1.412.227.869;0.719216824;0.579392254;0.175096929;0.178061873;2017;
Guatemala;29;6.453.999.996;0.872001946;1.255.585.194;0.54023999;0.531310618;0.283488393;0.077223279;2017;
Panama;30;6.452.000.141;1.233.748.436;1.373.192.549;0.706156135;0.550026834;0.210556939;0.070983924;2017;
France;31;6.441.999.912;1.430.923.462;1.387.776.852;0.844465852;0.470222116;0.129762307;0.172502428;2017;
Thailand;32;6.423.999.786;1.127.868.772;1.425.792.456;0.647239029;0.580200732;0.57212311;0.031612735;2017;
Taiwan Province of China;33;6.421.999.931;1.433.626.533;1.384.565.353;0.793984234;0.361466587;0.258360475;0.063829236;2017;
Spain;34;6.402.999.878;1.384.397.864;1.532.090.902;0.8889606;0.40878123;0.190133572;0.070914097;2017;
Qatar;35;6.375;1.870.765.686;127.429.688;0.710098088;0.604130983;0.33047387;0.439299256;2017;
Colombia;36;6.356.999.874;1.070.622.325;1.402.182.937;0.595027924;0.477487415;0.149014473;0.046668742;2017;
Saudi Arabia;37;6.343.999.863;1.530.623.555;1.286.677.599;0.59014833;0.449750572;0.147616014;0.273432255;2017;
Trinidad and Tobago;38;6.168.000.221;1.361.355.901;1.380.228.519;0.519983292;0.518630743;0.325296462;0.008964816;2017;
Kuwait;39;6.105.000.019;1.632.952.452;1.259.698.749;0.632105708;0.496337593;0.228289798;0.21515955;2017;
Slovakia;40;609.800.005;1.325.393.558;1.505.059.242;0.712732911;0.295817465;0.136544481;0.024210852;2017;
Bahrain;41;6.086.999.893;1.488.412.261;1.323.110.461;0.653133035;0.536746919;0.172668487;0.25704217;2017;
Malaysia;42;6.084.000.111;129.121.542;1.284.646.034;0.618784428;0.402264982;0.41660893;0.065600708;2017;
Nicaragua;43;6.071.000.099;0.737299204;128.721.571;0.653095961;0.447551847;0.301674217;0.130687982;2017;
Ecuador;44;6.007.999.897;1.000.820.398;1.286.168.814;0.685636222;0.455198199;0.150112465;0.140134647;2017;
El Salvador;45;6.002.999.783;0.909784496;1.182.125.092;0.596018553;0.43245253;0.078257985;0.08998096;2017;
Poland;46;597.300.005;1.291.787.863;144.571.197;0.699475348;0.520342112;0.158465967;0.059307806;2017;
Uzbekistan;47;5.971.000.195;0.786441088;154.896.915;0.498272628;0.658248663;0.415983647;0.246528223;2017;
Italy;48;5.964.000.225;1.395.066.619;1.444.923.282;0.853144348;0.256450713;0.172789648;0.028028091;2017;
Russia;49;5.962.999.821;1.281.778.097;1.469.282.389;0.547349334;0.373783112;0.052263822;0.032962881;2017;
Belize;50;5.955.999.851;0.907975316;1.081.417.799;0.450191766;0.547509372;0.240015641;0.096581072;2017;
Japan;51;5.920.000.076;1.416.915.178;1.436.337.829;0.913475871;0.505625546;0.120572768;0.163760737;2017;
Lithuania;52;590.199.995;1.314.582.348;1.473.516.107;0.62894994;0.234231785;0.010164657;0.011865643;2017;
Algeria;53;5.872.000.217;1.091.864.467;1.146.217.465;0.617584646;0.233335808;0.069436647;0.14609611;2017;
Latvia;54;5.849.999.905;1.260.748.625;1.404.714.942;0.638566971;0.325707912;0.153074786;0.073842727;2017;
South Korea;55;5.837.999.821;1.401.678.443;1.128.274.441;0.900214076;0.257921666;0.206674367;0.063282669;2017;
Moldova;56;5.837.999.821;0.72887063;1.251.825.571;0.589465201;0.240729049;0.208779126;0.010091286;2017;
Romania;57;5.824.999.809;1.217.683.911;115.009.129;0.685158312;0.457003742;0.133519918;0.004387901;2017;
Bolivia;58;5.822.999.954;0.833756566;1.227.619.052;0.47363025;0.558732927;0.225560725;0.060477726;2017;
Turkmenistan;59;5.822.000.027;1.130.776.763;1.493.149.161;0.43772608;0.418271929;0.249924988;0.25927034;2017;
Kazakhstan;60;5.818.999.767;128.455.627;1.384.369.016;0.606041551;0.437454283;0.201964423;0.119282886;2017;
North Cyprus;61;5.809.999.943;1.346.911.311;1.186.303.377;0.834647238;0.471203625;0.266845703;0.155353352;2017;
Slovenia;62;5.757.999.897;1.341.205.955;1.452.518.821;0.790828228;0.572575808;0.242649093;0.045128979;2017;
Peru;63;5.715.000.153;1.035.225.272;1.218.770.385;0.630166113;0.450002879;0.126819715;0.047049087;2017;
Mauritius;64;5.629.000.187;1.189.395.547;120.956.099;0.638007462;0.491247326;0.360933751;0.042181555;2017;
Cyprus;65;5.620.999.813;1.355.938.077;1.131.363.273;0.844714701;0.355111539;0.271254301;0.041237976;2017;
Estonia;66;5.611.000.061;132.087.934;14.766.711;0.695168316;0.47913143;0.098890811;0.183248922;2017;
Belarus;67;5.568.999.767;115.655.756;1.444.945.216;0.637714267;0.295400262;0.155137509;0.156313822;2017;
Libya;68;5.525.000.095;1.101.803.064;135.756.433;0.52016902;0.46573323;0.152073666;0.09261021;2017;
Turkey;69;05.05;1.198.274.374;1.337.753.177;0.637605608;0.3007406;0.046693042;0.09967158;2017;
Paraguay;70;5.493.000.031;0.932537317;150.728.488;0.579250693;0.473507792;0.224150658;0.091065913;2017;
Hong Kong S.A.R.; China;71;5.472.000.122;1.551.674.843;1.262.790.918;0.943062425;0.490968645;0.374465793;0.293933749;2017
Philippines;72;5.429.999.828;0.857699215;1.253.917.575;0.468009055;0.585214674;0.193513423;0.099331893;2017;
Serbia;73;5.394.999.981;1.069.317.579;1.258.189.797;0.650784671;0.208715528;0.220125884;0.040903781;2017;
Jordan;74;5.335.999.966;0.991012394;1.239.088.893;0.604590058;0.418421149;0.17217046;0.119803272;2017;
Hungary;75;5.323.999.882;1.286.011.934;1.343.133.092;0.687763453;0.175863519;0.078401662;0.036636937;2017;
Jamaica;76;531.099.987;0.925579309;1.368.218.064;0.641022384;0.474307239;0.233818337;0.055267781;2017;
Croatia;77;5.293.000.221;1.222.556.233;0.967983007;0.701288521;0.255772293;0.248002976;0.04310311;2017;
Kosovo;78;5.278.999.805;0.951484382;1.137.853.503;0.54145205;0.260287941;0.319931448;0.057471618;2017;
China;79;5.272.999.763;1.081.165.791;1.160.837.412;0.741415501;0.472787708;0.028806841;0.022794275;2017;
Pakistan;80;5.269.000.053;0.726883531;0.67269069;0.402047783;0.235215262;0.315446019;0.124348067;2017;
Indonesia;81;5.262.000.084;0.995538592;1.274.444.699;0.492345721;0.443323463;0.611704588;0.015317135;2017;
Venezuela;82;05.25;1.128.431.201;1.431.337.595;0.617144227;0.153997123;0.06501963;0.064491123;2017;
Montenegro;83;5.236.999.989;1.121.129.036;1.238.376.498;0.667464674;0.194989055;0.197911024;0.088174194;2017;
Morocco;84;5.235.000.134;0.878114581;0.774864435;0.597710669;0.408158332;0.032209955;0.087763183;2017;
Azerbaijan;85;5.234.000.206;1.153.601.766;1.152.400.255;0.540775776;0.398155838;0.04526934;0.180987507;2017;
Dominican Republic;86;5.230.000.019;1.079.373.837;1.402.416.706;0.574873745;0.552589834;0.18696785;0.113945253;2017;
Greece;87;5.227.000.237;1.289.487.481;1.239.414.573;0.810198903;0.095731251;0;0.043289777;2017;
Lebanon;88;5.224.999.905;1.074.987.531;1.129.624.248;0.735081077;0.288515985;0.264450759;0.03751383;2017;
Portugal;89;5.195.000.172;1.315.175.295;1.367.043.018;0.795843542;0.4984653;0.095102713;0.015869452;2017;
Bosnia and Herzegovina;90;518.200.016;0.982409418;1.069.335.938;0.705186307;0.204403177;0.328867495;0;2017;
Honduras;91;5.181.000.233;0.730573118;1.143.944.979;0.58256948;0.34807986;0.236188874;0.073345453;2017;
Macedonia;92;5.175.000.191;1.064.577.937;1.207.893.014;0.644948184;0.325905979;0.253760964;0.060277794;2017;
Somalia;93;5.151.000.023;0.022643184;0.721151352;0.113989137;0.602126956;0.291631311;0.282410324;2017;
Vietnam;94;5.073.999.882;0.788547575;1.277.491.331;0.652168989;0.571055591;0.234968051;0.087633237;2017;
Nigeria;95;5.073.999.882;0.783756256;1.215.770.483;0.05691573;0.394952565;0.230947196;0.026121566;2017;
Tajikistan;96;5.040.999.889;0.524713635;1.271.463.275;0.529235125;0.471566707;0.248997644;0.146377146;2017;
Bhutan;97;5.011.000.156;0.885416389;1.340.126.514;0.495879292;0.501537681;0.474054545;0.17338039;2017;
Kyrgyzstan;98;5.004.000.187;0.596220076;1.394.238.591;0.553457797;0.454943389;0.428580374;0.039439179;2017;
Nepal;99;4.961.999.893;0.479820192;1.179.283.261;0.504130781;0.440305948;0.394096166;0.072975546;2017;
Mongolia;100;4.954.999.924;1.027.235.866;1.493.011.236;0.557783484;0.394143969;0.33846423;0.032902289;2017;
South Africa;101;4.828.999.996;1.054.698.706;1.384.788.632;0.18708007;0.479246736;0.13936238;0.072509497;2017;
Tunisia;102;4.804.999.828;1.007.265.806;0.86835146;0.613212049;0.28968069;0.049693357;0.086723149;2017;
Palestinian Territories;103;4.775.000.095;0.716249228;1.155.647.159;0.565666974;0.254711062;0.114173174;0.089282602;2017;
Egypt;104;4.735.000.134;0.989701807;0.997471392;0.520187259;0.282110155;0.128631443;0.114381365;2017;
Bulgaria;105;4.714.000.225;1.161.459.088;1.434.379.458;0.70821768;0.289231718;0.113177694;0.011051531;2017;
Sierra Leone;106;4.709.000.111;0.368420929;0.984136045;0.005564754;0.318697691;0.293040901;0.071095176;2017;
Cameroon;107;4.695.000.172;0.564305365;0.946018219;0.132892117;0.430388749;0.236298457;0.051306631;2017;
Iran;108;4.691.999.912;1.156.873.107;0.711551249;0.639333189;0.249322608;0.387242913;0.048761073;2017;
Albania;109;4.644.000.053;0.996192753;0.803685248;0.731159747;0.381498635;0.201312944;0.039864216;2017;
Bangladesh;110;4.607.999.802;0.586682975;0.735131741;0.533241034;0.478356659;0.172255352;0.123717859;2017;
Namibia;111;4.573.999.882;0.964434326;1.098.470.807;0.338611811;0.520303547;0.077133745;0.093146972;2017;
Kenya;112;4.552.999.973;0.560479462;1.067.950.726;0.30998835;0.452763766;0.444860309;0.064641319;2017;
Mozambique;113;4.550.000.191;0.23430565;0.870701015;0.106654435;0.480791092;0.322228104;0.179436386;2017;
Myanmar;114;4.545.000.076;0.36711055;1.123.235.941;0.397522569;0.514492035;0.838075161;0.188816205;2017;
Senegal;115;4.534.999.847;0.479309022;1.179.691.911;0.409362853;0.377922267;0.183468893;0.115460448;2017;
Zambia;116;4.513.999.939;0.636406779;1.003.187.299;0.257835895;0.461603492;0.249580145;0.07821355;2017;
Iraq;117;4.497.000.217;1.102.710.485;0.978613198;0.50118047;0.288555533;0.199637264;0.107215755;2017;
Gabon;118;4.465.000.153;1.198.210.239;1.155.620.217;0.356578588;0.312328577;0.043785378;0.076046787;2017;
Ethiopia;119;4.460.000.038;0.339233845;0.864669204;0.353409708;0.408842742;0.31265074;0.165455714;2017;
Sri Lanka;120;4.440.000.057;1.009.850.144;1.259.976.387;0.625130832;0.561213255;0.490863562;0.073653966;2017;
Armenia;121;4.375.999.928;0.900596738;1.007.483.721;0.637524426;0.198303267;0.083488092;0.026674422;2017;
India;122;4.315.000.057;0.792221248;0.754372597;0.455427617;0.469987005;0.231538489;0.092226885;2017;
Mauritania;123;4.291.999.817;0.648457289;127.203.083;0.28534928;0.096098043;0.201870024;0.136957005;2017;
Congo (Brazzaville);124;4.290.999.889;0.808964252;0.832044363;0.289957434;0.435025871;0.120852128;0.079618134;2017;
Georgia;125;4.285.999.775;0.950612664;0.570614934;0.649546981;0.309410036;0.054008815;0.251666635;2017;
Congo (Kinshasa);126;428.000.021;0.092102349;1.229.023.457;0.191407025;0.235961348;0.246455833;0.060241356;2017;
Mali;127;4.190.000.057;0.476180494;1.281.473.398;0.169365674;0.306613743;0.183354199;0.104970247;2017;
Ivory Coast;128;4.179.999.828;0.603048921;0.90478003;0.04864217;0.447706193;0.20123747;0.130061775;2017;
Cambodia;129;4.168.000.221;0.601765096;1.006.238.341;0.429783404;0.633375823;0.385922968;0.068105951;2017;
Sudan;130;4.138.999.939;0.659516692;121.400.857;0.290920824;0.014995855;0.182317451;0.08984752;2017;
Ghana;131;4.119.999.886;0.667224824;0.873664737;0.295637727;0.423026294;0.256923944;0.02533637;2017;
Ukraine;132;4.096.000.195;0.894651949;1.394.537.568;0.575903952;0.122974776;0.270061463;0.023029471;2017;
Uganda;133;4.080.999.851;0.381430715;1.129.827.738;0.217632607;0.443185955;0.325766057;0.057069719;2017;
Burkina Faso;134;4.032.000.065;0.350227714;1.043.280.005;0.215844259;0.324367851;0.250864685;0.120328106;2017;
Niger;135;4.027.999.878;0.161925331;0.993025005;0.268505007;0.363658696;0.228673846;0.138572946;2017;
Malawi;136;3.970.000.029;0.233442038;0.512568831;0.315089583;0.466914654;0.28717047;0.072711654;2017;
Chad;137;3.936.000.109;0.438012987;0.953855872;0.041134715;0.162342027;0.21611385;0.053581882;2017;
Zimbabwe;138;3.875;0.375846535;1.083.095.908;0.196763754;0.336384207;0.189143494;0.095375381;2017;
Lesotho;139;3.808.000.088;0.521021247;1.190.095.186;0;0.390661299;0.157497272;0.11909464;2017;
Angola;140;3.795.000.076;0.85842818;110.441.196;0.049868666;0;0.09792649;0.069720335;2017;
Afghanistan;141;379.399.991;0.401477218;0.581543326;0.180746779;0.10617952;0.311870933;0.06115783;2017;
Botswana;142;3.766.000.032;1.122.094.154;1.221.554.995;0.341755509;0.505196333;0.099348448;0.098583199;2017;
Benin;143;3.657.000.065;0.431085408;0.435299844;0.209930211;0.425962776;0.207948461;0.060929015;2017;
Madagascar;144;3.644.000.053;0.305808693;0.913020372;0.375223309;0.189196765;0.20873253;0.067231975;2017;
Haiti;145;3.602.999.926;0.368610263;0.640449822;0.27732113;0.030369857;0.489203781;0.09987215;2017;
Yemen;146;3.592.999.935;0.591683447;0.935382247;0.310080916;0.249463722;0.104125209;0.056767423;2017;
South Sudan;147;359.100.008;0.397248626;0.601323128;0.163486004;0.147062436;0.285670817;0.116793513;2017;
Liberia;148;3.532.999.992;0.119041793;0.872117937;0.229918197;0.332881182;0.266549885;0.038948249;2017;
Guinea;149;3.506.999.969;0.24454993;0.791244686;0.194129139;0.348587513;0.264815092;0.110937618;2017;
Togo;150;3.494.999.886;0.305444717;0.43188253;0.247105569;0.380426139;0.196896151;0.095665015;2017;
Rwanda;151;3.470.999.956;0.368745893;0.945707023;0.326424807;0.581843853;0.252756029;0.455220014;2017;
Syria;152;3.461.999.893;0.777153134;0.396102607;0.500533342;0.081539445;0.493663728;0.151347131;2017;
Tanzania;153;3.348.999.977;0.511135876;1.041.989.803;0.364509284;0.390017778;0.354256362;0.066035107;2017;
Burundi;154;2.904.999.971;0.091622569;0.629793584;0.151610792;0.059900753;0.204435185;0.084147945;2017;
Central African Republic;155;2.693.000.078;0;0;0.018772686;0.270842046;0.280876487;0.056565076;2017;
Finland;1;7.632;1.305;1.592;0,606944444;0,472916667;0,140277778;0,272916667;2018;
Norway;2;7.594;1.456;1.582;0,597916667;0,476388889;0,198611111;00.34;2018;
Denmark;3;7.555;1.351;01.59;0,602777778;0,474305556;0,197222222;0,283333333;2018;
Iceland;4;7.495;1.343;1.644;0,634722222;0,470138889;0,245138889;0,095833333;2018;
Switzerland;5;7.487;01.42;1.549;0,64375;0,045833333;0,177777778;0,247916667;2018;
Netherlands;6;7.441;1.361;1.488;0,609722222;0,443055556;0,23125;0,204861111;2018;
Canada;7;7.328;01.33;1.532;0,622222222;0,453472222;0,222916667;0,202083333;2018;
New Zealand;8;7.324;1.268;1.601;0,608333333;0,464583333;0,253472222;0,270138889;2018;
Sweden;9;7.314;1.355;1.501;0,634027778;0,457638889;0,197916667;0,265972222;2018;
Australia;10;7.272;01.34;1.573;0,063194444;0,449305556;0,250694444;0,209722222;2018;
United Kingdom;11;07.19;1.244;1.433;0,616666667;0,322222222;0,181944444;0.082;2018;
Austria;12;7.139;1.341;1.504;0,61875;0,428472222;0,168055556;0,155555556;2018;
Costa Rica;13;7.072;01.01;1.459;0,567361111;0,438888889;0,099305556;0,070138889;2018;
Ireland;14;6.977;1.448;1.583;0,608333333;0,426388889;0,213194444;0,2125;2018;
Germany;15;6.965;01.34;1.474;0,597916667;0,406944444;0,189583333;00.28;2018;
Belgium;16;6.927;1.324;1.483;0,620833333;0,404861111;0,130555556;00.24;2018;
Luxembourg;17;0,313194444;1.576;01.52;0,622222222;0,438888889;0,136111111;0,222916667;2018;
United States;18;6.886;1.398;1.471;0,56875;0,379861111;0,202083333;0,092361111;2018;
Israel;19;6.814;1.301;1.559;0,613194444;0,370138889;0,245833333;0,188888889;2018;
United Arab Emirates;20;6.774;2.096;0,538888889;0,046527778;0,197222222;0,129166667;N/A;2018;
Czech Republic;21;6.711;1.233;1.489;0,593055556;0,377083333;0.064;0.034;2018;
Malta;22;6.627;01.27;1.525;0,613888889;0,447916667;0,261111111;0,098611111;2018;
France;23;6.489;1.293;1.466;0,630555556;00.52;0.098;0,122222222;2018;
Mexico;24;6.488;1.038;1.252;0,528472222;0,332638889;0.069;0.095;2018;
Chile;25;6.476;1.131;1.331;0,561111111;0,299305556;0,136805556;0.061;2018;
Taiwan;26;6.441;1.365;1.436;0,595138889;0,290277778;0,104861111;0.078;2018;
Panama;27;06.43;1.112;1.438;0,527083333;0,414583333;0,086805556;0.063;2018;
Brazil;28;6.419;0,684722222;1.474;0,46875;0,342361111;00.11;0.088;2018;
Argentina;29;6.388;1.073;1.468;0,516666667;00.57;0.062;0.054;2018;
Guatemala;30;6.382;0,542361111;1.268;0,422222222;0,419444444;0,124305556;0.071;2018;
Uruguay;31;6.379;1.093;1.459;0,535416667;0,434027778;00.13;0,107638889;2018;
Qatar;32;6.374;1.649;1.303;0,519444444;0,454166667;0,177777778;0,11875;2018;
Saudi Arabia;33;6.371;1.379;1.331;0,439583333;0,353472222;0.098;0,088194444;2018;
Singapore;34;6.343;1.529;1.451;1.008;0,438194444;0,18125;0,317361111;2018;
Malaysia;35;6.322;1.161;1.258;0,464583333;0,247222222;0,215972222;0.059;2018;
Spain;36;06.31;1.251;1.538;0,670138889;0,311805556;0,098611111;0.074;2018;
Colombia;37;06.26;0,066666667;1.439;0,440972222;0,36875;0.099;0.039;2018;
Trinidad & Tobago;38;6.192;1.223;1.492;0,391666667;0,399305556;0,11875;0.019;2018;
Slovakia;39;6.173;01.21;1.537;0,538888889;0,245833333;0,081944444;0.014;2018;
El Salvador;40;6.167;0,559722222;1.231;0,44375;0,320138889;0.065;0.082;2018;
